,cpu,voltage,label
0,-0.275,-0.255,0
1,-0.26,-0.22,0
2,-0.23,-0.185,0
3,-0.23,-0.16,0
4,-0.235,-0.15,0
5,-0.25,-0.14,0
6,-0.25,-0.11,0
7,-0.235,-0.075,0
8,-0.23,-0.05,0
9,-0.21,-0.03,0
10,-0.215,-0.03,0
11,-0.2,-0.015,0
12,-0.18,0.015,0
13,-0.165,0.055,0
14,-0.145,0.075,0
15,-0.145,0.08,0
16,-0.145,0.075,0
17,-0.15,0.09,0
18,-0.14,0.09,0
19,-0.13,0.1,0
20,-0.12,0.095,0
21,-0.12,0.11,0
22,-0.125,0.095,0
23,-0.135,0.105,0
24,-0.13,0.115,0
25,-0.115,0.14,0
26,-0.11,0.135,0
27,-0.095,0.125,0
28,-0.11,0.13,0
29,-0.12,0.125,0
30,-0.1,0.13,0
31,-0.095,0.145,0
32,-0.085,0.15,0
33,-0.085,0.165,0
34,-0.095,0.155,0
35,-0.09,0.16,0
36,-0.1,0.18,0
37,-0.1,0.195,0
38,-0.09,0.185,0
39,-0.07,0.18,0
40,-0.085,0.18,0
41,-0.1,0.19,0
42,-0.09,0.205,0
43,-0.095,0.22,0
44,-0.075,0.23,0
45,-0.075,0.25,0
46,-0.065,0.27,0
47,-0.07,0.29,0
48,-0.065,0.3,0
49,-0.055,0.25,0
50,-0.045,0.23,0
51,-0.045,0.245,0
52,-0.045,0.245,0
53,-0.05,0.275,0
54,-0.04,0.31,0
55,-0.03,0.335,0
56,-0.01,0.345,0
57,-0.015,0.335,0
58,-0.015,0.315,0
59,-0.03,0.32,0
60,-0.02,0.34,0
61,-0.01,0.37,0
62,0.005,0.37,0
63,0.015,0.385,0
64,0.0,0.385,0
65,0.0,0.395,0
66,-0.015,0.415,0
67,0.005,0.42,0
68,0.005,0.435,0
69,0.01,0.435,0
70,0.005,0.435,0
71,0.005,0.455,0
72,0.015,0.475,0
73,0.025,0.5,0
74,0.005,0.505,0
75,0.02,0.485,0
76,0.005,0.475,0
77,-0.005,0.47,0
78,-0.01,0.475,0
79,-0.01,0.475,0
80,-0.005,0.48,0
81,0.0,0.49,0
82,-0.02,0.47,0
83,-0.045,0.45,0
84,-0.05,0.435,0
85,-0.05,0.435,0
86,-0.055,0.415,0
87,-0.05,0.405,0
88,-0.065,0.375,0
89,-0.09,0.36,0
90,-0.08,0.35,0
91,-0.085,0.36,0
92,-0.09,0.345,0
93,-0.09,0.315,0
94,-0.095,0.3,0
95,-0.105,0.295,0
96,-0.11,0.31,0
97,-0.11,0.305,0
98,-0.105,0.27,0
99,-0.1,0.275,0
100,-0.105,0.235,0
101,-0.11,0.21,0
102,-0.11,0.21,0
103,-0.12,0.21,0
104,-0.125,0.21,0
105,-0.15,0.2,0
106,-0.17,0.17,0
107,-0.215,0.145,0
108,-0.225,0.14,0
109,-0.225,0.145,0
110,-0.225,0.13,0
111,-0.22,0.12,0
112,-0.22,0.115,0
113,-0.235,0.1,0
114,-0.24,0.095,0
115,-0.24,0.095,0
116,-0.23,0.075,0
117,-0.23,0.08,0
118,-0.255,0.06,0
119,-0.27,0.05,0
120,-0.275,0.06,0
121,-0.265,0.07,0
122,-0.265,0.06,0
123,-0.285,0.065,0
124,-0.3,0.06,0
125,-0.32,0.05,0
126,-0.325,0.04,0
127,-0.3,0.055,0
128,-0.3,0.045,0
129,-0.305,0.06,0
130,-0.305,0.045,0
131,-0.32,0.04,0
132,-0.335,0.05,0
133,-0.325,0.04,0
134,-0.31,0.055,0
135,-0.3,0.06,0
136,-0.3,0.055,0
137,-0.305,0.05,0
138,-0.3,0.055,0
139,-0.305,0.06,0
140,-0.295,0.04,0
141,-0.305,0.035,0
142,-0.315,0.02,0
143,-0.335,0.02,0
144,-0.345,0.03,0
145,-0.34,0.045,0
146,-0.33,0.045,0
147,-0.33,0.05,0
148,-0.31,0.045,0
149,-0.32,0.03,0
150,-0.32,0.015,0
151,-0.315,0.02,0
152,-0.315,0.035,0
153,-0.33,0.035,0
154,-0.34,0.02,0
155,-0.35,0.015,0
156,-0.345,0.03,0
157,-0.33,0.045,0
158,-0.305,0.035,0
159,-0.315,0.035,0
160,-0.33,0.025,0
161,-0.345,0.03,0
162,-0.34,0.045,0
163,-0.34,0.055,0
164,-0.325,0.055,0
165,-0.32,0.065,0
166,-0.345,0.045,0
167,-0.36,0.015,0
168,-0.36,0.02,0
169,-0.345,0.02,0
170,-0.32,0.025,0
171,-0.32,0.03,0
