,cpu,voltage,label
0,-0.15,0.2,0
1,-0.15,0.2,0
2,-0.15,0.2,0
3,-0.15,0.2,0
4,-0.15,0.2,0
5,-0.15,0.2,0
6,-0.15,0.2,0
7,-0.15,0.2,0
8,-0.145,0.2,0
9,-0.135,0.215,0
10,-0.11,0.235,0
11,-0.08,0.24,0
12,-0.04,0.24,0
13,0.0,0.245,0
14,0.125,0.265,0
15,0.485,0.335,0
16,0.925,0.46,0
17,0.985,0.775,0
18,0.625,1.03,0
19,0.25,0.935,0
20,0.095,0.665,0
21,0.1,0.485,0
22,0.12,0.445,0
23,0.11,0.425,0
24,0.08,0.395,0
25,0.05,0.355,0
26,0.04,0.335,0
27,0.035,0.33,0
28,0.045,0.335,0
29,0.06,0.3,0
30,0.06,0.305,0
31,0.045,0.26,0
32,0.015,0.235,0
33,0.01,0.21,0
34,0.0,0.195,0
35,0.0,0.165,0
36,-0.02,0.165,1
37,-0.035,0.135,0
38,-0.065,0.115,0
39,-0.075,0.11,0
40,-0.11,0.11,0
41,-0.145,0.105,0
42,-0.18,0.085,0
43,-0.225,0.065,0
44,-0.27,0.035,0
45,-0.31,0.04,0
46,-0.38,0.03,0
47,-0.455,0.02,0
48,-0.51,-0.005,0
49,-0.565,-0.02,0
50,-0.62,-0.04,0
51,-0.665,-0.03,0
52,-0.705,-0.035,0
53,-0.75,-0.045,0
54,-0.79,-0.07,0
55,-0.83,-0.105,0
56,-0.86,-0.15,0
57,-0.88,-0.18,0
58,-0.885,-0.22,0
59,-0.9,-0.255,0
60,-0.9,-0.3,0
61,-0.895,-0.33,0
62,-0.885,-0.345,0
63,-0.87,-0.37,0
64,-0.855,-0.385,0
65,-0.845,-0.405,0
66,-0.825,-0.435,0
67,-0.82,-0.475,0
68,-0.8,-0.48,0
69,-0.77,-0.5,0
70,-0.72,-0.51,0
71,-0.655,-0.535,0
72,-0.61,-0.565,0
73,-0.58,-0.58,1
74,-0.55,-0.565,0
75,-0.49,-0.53,0
76,-0.445,-0.485,0
77,-0.38,-0.445,0
78,-0.345,-0.4,0
79,-0.31,-0.36,0
80,-0.3,-0.305,0
81,-0.27,-0.245,0
82,-0.235,-0.18,0
83,-0.225,-0.125,0
84,-0.215,-0.085,0
85,-0.22,-0.055,0
86,-0.225,-0.015,0
87,-0.22,0.02,0
88,-0.21,0.055,0
89,-0.2,0.085,0
90,-0.18,0.095,0
91,-0.19,0.095,0
92,-0.205,0.095,0
93,-0.205,0.11,0
94,-0.21,0.145,0
95,-0.205,0.155,0
96,-0.2,0.175,0
97,-0.2,0.185,0
98,-0.19,0.215,0
99,-0.175,0.245,0
100,-0.165,0.275,0
101,-0.13,0.295,0
102,-0.145,0.31,0
103,-0.125,0.315,0
104,-0.13,0.32,0
105,-0.115,0.335,0
106,-0.095,0.35,0
107,-0.085,0.345,0
108,-0.08,0.34,0
109,-0.08,0.335,0
110,-0.085,0.33,0
111,-0.075,0.345,0
112,-0.065,0.365,0
113,-0.05,0.36,0
114,-0.045,0.365,0
115,-0.05,0.35,0
116,-0.05,0.35,0
117,-0.045,0.36,0
118,-0.035,0.37,0
119,-0.015,0.385,0
120,-0.02,0.38,0
121,-0.035,0.375,0
122,-0.025,0.365,0
123,-0.03,0.37,0
124,-0.01,0.39,0
125,-0.01,0.39,0
126,0.005,0.395,0
127,-0.005,0.395,0
128,-0.005,0.385,0
129,-0.005,0.4,0
130,0.01,0.415,0
131,0.02,0.415,0
132,0.025,0.42,0
133,0.02,0.41,0
134,0.015,0.41,0
135,0.02,0.43,0
136,0.035,0.435,0
137,0.05,0.44,0
138,0.04,0.44,0
139,0.045,0.44,0
140,0.04,0.43,0
141,0.035,0.445,0
142,0.055,0.465,0
143,0.065,0.47,0
144,0.06,0.465,0
145,0.055,0.465,0
146,0.055,0.465,0
147,0.065,0.47,0
148,0.08,0.49,0
149,0.07,0.495,0
150,0.09,0.5,0
151,0.08,0.485,0
152,0.07,0.49,0
153,0.075,0.505,0
154,0.085,0.52,0
155,0.1,0.52,0
156,0.095,0.52,0
157,0.09,0.52,0
158,0.08,0.515,0
159,0.08,0.53,0
160,0.095,0.535,0
161,0.095,0.55,0
162,0.09,0.545,0
163,0.09,0.535,0
164,0.09,0.535,0
165,0.09,0.54,0
166,0.075,0.545,0
167,0.085,0.56,0
168,0.105,0.535,0
169,0.08,0.54,0
170,0.065,0.52,0
171,0.065,0.525,0
172,0.07,0.525,0
173,0.075,0.535,0
174,0.065,0.52,0
175,0.055,0.51,0
176,0.035,0.5,0
177,0.035,0.505,0
178,0.035,0.515,0
179,0.035,0.495,0
180,0.025,0.485,0
181,0.01,0.465,0
182,0.0,0.455,0
183,-0.02,0.465,0
184,-0.01,0.465,0
185,-0.015,0.47,0
186,-0.02,0.45,0
187,-0.05,0.44,0
188,-0.06,0.43,0
189,-0.06,0.425,0
190,-0.065,0.425,0
191,-0.065,0.42,0
192,-0.08,0.4,0
193,-0.095,0.38,0
194,-0.1,0.37,0
195,-0.095,0.375,0
196,-0.1,0.38,0
197,-0.09,0.375,0
198,-0.1,0.365,0
199,-0.11,0.345,0
200,-0.135,0.34,0
201,-0.135,0.33,0
202,-0.125,0.335,0
203,-0.12,0.33,0
204,-0.115,0.33,0
205,-0.135,0.31,0
206,-0.15,0.3,0
207,-0.145,0.295,0
208,-0.145,0.3,0
209,-0.135,0.305,0
210,-0.135,0.295,0
211,-0.145,0.29,0
212,-0.155,0.28,0
213,-0.15,0.285,0
214,-0.14,0.295,0
215,-0.14,0.29,0
216,-0.145,0.28,0
217,-0.15,0.28,0
218,-0.15,0.27,0
219,-0.17,0.29,0
220,-0.155,0.275,0
221,-0.145,0.285,0
222,-0.135,0.265,0
223,-0.15,0.275,0
224,-0.16,0.265,0
